SpID,TAXONOMIC_NAME,Family,Class,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,MaxLength,Trophic Level,Trophic group,Water column,Diel Activity,Habitat
6328,Acalyptophis peronii,Elapidae,Reptilia,Acalyptophis peronii,Acalyptophis peronii,100,,Higher carnivore,benthic,,
676,Acanthaluteres brownii,Monacanthidae,Actinopterygii,Acanthaluteres brownii,Acanthaluteres brownii,55,2.8,Omnivore,Demersal,Day,rock
85,Acanthaluteres spilomelanurus,Monacanthidae,Actinopterygii,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,14,2.9,Omnivore,Demersal,Day,sand
93,Acanthaluteres vittiger,Monacanthidae,Actinopterygii,Acanthaluteres vittiger,Acanthaluteres vittiger,35,2,Omnivore,Demersal,Day,rock
1412,Acanthaster planci,Acanthasteridae,Asteroidea,Acanthaster planci,Acanthaster planci,80,,Benthic invertivore,benthic,,
4577,Acanthemblemaria aspera,Chaenopsidae,Actinopterygii,Acanthemblemaria aspera,Acanthemblemaria aspera,4,3.1,Benthic invertivore,benthic,Day,rock
4578,Acanthemblemaria atrata,Chaenopsidae,Actinopterygii,Acanthemblemaria atrata,Acanthemblemaria atrata,5,3.3,Benthic invertivore,benthic,Day,rock
4579,Acanthemblemaria balanorum,Chaenopsidae,Actinopterygii,Acanthemblemaria balanorum,Acanthemblemaria balanorum,4.5,3.4,Benthic invertivore,benthic,Day,rock
6068,Acanthemblemaria castroi,Chaenopsidae,Actinopterygii,Acanthemblemaria castroi,Acanthemblemaria castroi,6,3.4,Benthic invertivore,benthic,Day,rock
4580,Acanthemblemaria crockeri,Chaenopsidae,Actinopterygii,Acanthemblemaria crockeri,Acanthemblemaria crockeri,6,3.4,Benthic invertivore,benthic,Day,rock
4581,Acanthemblemaria exilispinus,Chaenopsidae,Actinopterygii,Acanthemblemaria exilispinus,Acanthemblemaria exilispinus,5.5,3.4,Planktivore,benthic,Day,rock
4582,Acanthemblemaria hancocki,Chaenopsidae,Actinopterygii,Acanthemblemaria hancocki,Acanthemblemaria hancocki,4.5,3.4,Benthic invertivore,benthic,Day,rock
4583,Acanthemblemaria spinosa,Chaenopsidae,Actinopterygii,Acanthemblemaria spinosa,Acanthemblemaria spinosa,2.8,3.1,Benthic invertivore,benthic,Day,rock
5686,Acanthemblemaria spp.,Chaenopsidae,Actinopterygii,Acanthemblemaria spp.,Acanthemblemaria spp.,,,Benthic invertivore,benthic,Day,rock
6066,Acanthemblemaria stephensi,Chaenopsidae,Actinopterygii,Acanthemblemaria stephensi,Acanthemblemaria stephensi,5,3.4,Benthic invertivore,benthic,Day,rock
5535,Acanthina monodon,Muricidae,Gastropoda,Acanthina monodon,Acanthina monodon,,,Benthic invertivore,benthic,,
1413,Acanthistius cinctus,Serranidae,Actinopterygii,Acanthistius cinctus,Acanthistius cinctus,50,4.1,Higher carnivore,Demersal,Day,rock
194,Acanthistius ocellatus,Serranidae,Actinopterygii,Acanthistius ocellatus,Acanthistius ocellatus,64,4.1,Higher carnivore,Demersal,Day,rock
1117,Acanthistius pardalotus,Serranidae,Actinopterygii,Acanthistius pardalotus,Acanthistius pardalotus,65,4.1,Higher carnivore,Demersal,Day,rock
5551,Acanthistius patachonicus,Serranidae,Actinopterygii,Acanthistius patachonicus,Acanthistius patachonicus,65,4,Higher carnivore,Demersal,Day,rock
5390,Acanthistius sebastoides,Serranidae,Actinopterygii,Acanthistius sebastoides,Acanthistius sebastoides,35,4,Higher carnivore,Demersal,Day,rock
1377,Acanthistius serratus,Serranidae,Actinopterygii,Acanthistius serratus,Acanthistius serratus,50,4.1,Higher carnivore,Demersal,Day,rock
3276,Acanthistius spp.,Serranidae,Actinopterygii,Acanthistius spp.,Acanthistius spp.,,,Higher carnivore,benthic,,
3037,Acanthochromis polyacanthus,Pomacentridae,Actinopterygii,Acanthochromis polyacanthus,Acanthochromis polyacanthus,14,2.7,Planktivore,Demersal,Day,coral
6997,Acanthocybium solandri,Scombridae,Actinopterygii,Acanthocybium solandri,Acanthocybium solandri,250,4.3,Higher carnivore,pelagic non-site attached,,
5123,Acanthodoris spp.,Onchidorididae,Gastropoda,Acanthodoris sp. [hudsoni],Acanthodoris spp.,,,Benthic invertivore,benthic,,
2036,Acanthopagrus australis,Sparidae,Actinopterygii,Acanthopagrus australis,Acanthopagrus australis,66,3.1,Benthic invertivore,Demersal,Day,rock
3002,Acanthopagrus butcheri,Sparidae,Actinopterygii,Acanthopagrus butcheri,Acanthopagrus butcheri,60,3.5,Benthic invertivore,Demersal,Day,rock
3003,Acanthopagrus latus,Sparidae,Actinopterygii,Acanthopagrus latus,Acanthopagrus latus,50,3.2,Benthic invertivore,Demersal,Day,rock
3004,Acanthopagrus palmaris,Sparidae,Actinopterygii,Acanthopagrus palmaris,Acanthopagrus palmaris,40,3.3,Benthic invertivore,Demersal,Day,rock
5565,Acanthopagrus sivicolus,Sparidae,Actinopterygii,Acanthopagrus sivicolus,Acanthopagrus sivicolus,45,3.4,Benthic invertivore,Demersal,Day,coral
4584,Acanthostracion polygonius,Ostraciidae,Actinopterygii,Acanthostracion polygonius,Acanthostracion polygonius,50,2,Benthic invertivore,Demersal,Day,coral
4854,Acanthostracion quadricornis,Ostraciidae,Actinopterygii,Acanthostracion quadricornis,Acanthostracion quadricornis,55,3,Benthic invertivore,Demersal,Day,coral
#N/A,Acanthozoon spp.,#N/A,#N/A,Acanthozoon sp. [Raja],Acanthozoon spp.,,,,benthic,,
1415,Acanthurid spp.,Acanthuridae,Actinopterygii,Acanthurid spp.,Acanthurid spp.,,2.2,Browsing herbivore,Demersal,Day,coral
4585,Acanthurus achilles,Acanthuridae,Actinopterygii,Acanthurus achilles,Acanthurus achilles,24,2,Browsing herbivore,Demersal,Day,coral
3228,Acanthurus albipectoralis,Acanthuridae,Actinopterygii,Acanthurus albipectoralis,Acanthurus albipectoralis,33,3.4,Browsing herbivore,Demersal,Day,coral
3229,Acanthurus auranticavus,Acanthuridae,Actinopterygii,Acanthurus auranticavus,Acanthurus auranticavus,45,2,Browsing herbivore,Demersal,Day,coral
4586,Acanthurus bahianus,Acanthuridae,Actinopterygii,Acanthurus bahianus,Acanthurus bahianus,38.1,2,Browsing herbivore,Demersal,Day,coral
1896,Acanthurus bariene,Acanthuridae,Actinopterygii,Acanthurus bariene,Acanthurus bariene,50,2,Browsing herbivore,Demersal,Day,coral
1416,Acanthurus blochii,Acanthuridae,Actinopterygii,Acanthurus blochii,Acanthurus blochii,45,2,Browsing herbivore,Demersal,Day,coral
4587,Acanthurus chirurgus,Acanthuridae,Actinopterygii,Acanthurus chirurgus,Acanthurus chirurgus,39,2,Browsing herbivore,Demersal,Day,coral
4588,Acanthurus coeruleus,Acanthuridae,Actinopterygii,Acanthurus coeruleus,Acanthurus coeruleus,39,2,Browsing herbivore,Demersal,Day,coral
1417,Acanthurus dussumieri,Acanthuridae,Actinopterygii,Acanthurus dussumieri,Acanthurus dussumieri,54,2,Browsing herbivore,Demersal,Day,coral
6205,Acanthurus fowleri,Acanthuridae,Actinopterygii,Acanthurus fowleri,Acanthurus fowleri,45,2,Browsing herbivore,Demersal,Day,coral
4589,Acanthurus gahhm,Acanthuridae,Actinopterygii,Acanthurus gahhm,Acanthurus gahhm,40,2.8,Browsing herbivore,Demersal,Day,coral
3227,Acanthurus grammoptilus,Acanthuridae,Actinopterygii,Acanthurus grammoptilus,Acanthurus grammoptilus,35,2.1,Browsing herbivore,Demersal,Day,coral
3785,Acanthurus guttatus,Acanthuridae,Actinopterygii,Acanthurus guttatus,Acanthurus guttatus,26,2,Browsing herbivore,Demersal,Day,coral
1897,Acanthurus leucocheilus,Acanthuridae,Actinopterygii,Acanthurus leucocheilus,Acanthurus leucocheilus,45,2,Browsing herbivore,Demersal,Day,coral
4590,Acanthurus leucopareius,Acanthuridae,Actinopterygii,Acanthurus leucopareius,Acanthurus leucopareius,24,2,Browsing herbivore,Demersal,Day,coral
4591,Acanthurus leucosternon,Acanthuridae,Actinopterygii,Acanthurus leucosternon,Acanthurus leucosternon,54,2,Browsing herbivore,Demersal,Day,coral
1418,Acanthurus lineatus,Acanthuridae,Actinopterygii,Acanthurus lineatus,Acanthurus lineatus,38,2,Browsing herbivore,Demersal,Day,coral
3789,Acanthurus maculiceps,Acanthuridae,Actinopterygii,Acanthurus maculiceps,Acanthurus maculiceps,40,2,Browsing herbivore,Demersal,Day,coral
1419,Acanthurus mata,Acanthuridae,Actinopterygii,Acanthurus mata,Acanthurus mata,50,2.5,Omnivore,Demersal,Day,coral
1898,Acanthurus nigricans,Acanthuridae,Actinopterygii,Acanthurus nigricans,Acanthurus nigricans,21.3,2,Browsing herbivore,Demersal,Day,coral
3230,Acanthurus nigricauda,Acanthuridae,Actinopterygii,Acanthurus nigricauda,Acanthurus nigricauda,40,3,Browsing herbivore,Demersal,Day,coral
646,Acanthurus nigrofuscus,Acanthuridae,Actinopterygii,Acanthurus nigrofuscus,Acanthurus nigrofuscus,21,2,Browsing herbivore,Demersal,Day,coral
3520,Acanthurus nigroris,Acanthuridae,Actinopterygii,Acanthurus nigroris,Acanthurus nigroris,25,2,Browsing herbivore,Demersal,Day,coral
5875,Acanthurus nubilus,Acanthuridae,Actinopterygii,Acanthurus nubilus,Acanthurus nubilus,26,3.4,Browsing herbivore,Demersal,Day,coral
174,Acanthurus olivaceus,Acanthuridae,Actinopterygii,Acanthurus olivaceus,Acanthurus olivaceus,35,2.2,Browsing herbivore,Demersal,Day,coral
1899,Acanthurus pyroferus,Acanthuridae,Actinopterygii,Acanthurus pyroferus,Acanthurus pyroferus,25,2,Browsing herbivore,Demersal,Day,coral
4592,Acanthurus reversus,Acanthuridae,Actinopterygii,Acanthurus reversus,Acanthurus reversus,21.6,2.2,Browsing herbivore,Demersal,Day,coral
4593,Acanthurus sohal,Acanthuridae,Actinopterygii,Acanthurus sohal,Acanthurus sohal,40,2,Browsing herbivore,Demersal,Day,coral
3888,Acanthurus spp.,Acanthuridae,Actinopterygii,Acanthurus spp.,Acanthurus spp.,,,Browsing herbivore,Demersal,Day,coral
#N/A,Acanthurus spp.,Acanthuridae,Actinopterygii,Acanthurus sp. [fowleri],Acanthurus spp.,45,,Browsing herbivore,Demersal,Day,coral
#N/A,Acanthurus spp.,Acanthuridae,Actinopterygii,Acanthurus sp. [pyroferus],Acanthurus spp.,25,,Browsing herbivore,Demersal,Day,coral
#N/A,Acanthurus spp.,#N/A,#N/A,Acanthurus sp. [achilles],Acanthurus spp.,,,,benthic,,
3914,Acanthurus tennentii,Acanthuridae,Actinopterygii,Acanthurus tennentii,Acanthurus tennentii,31,2,Browsing herbivore,Demersal,Day,coral
3231,Acanthurus thompsoni,Acanthuridae,Actinopterygii,Acanthurus thompsoni,Acanthurus thompsoni,27,3.4,Planktivore,Demersal,Day,coral
7055,Acanthurus tractus,Acanthuridae,Actinopterygii,Acanthurus tractus,Acanthurus tractus,,,Browsing herbivore,benthic,,
1420,Acanthurus triostegus,Acanthuridae,Actinopterygii,Acanthurus triostegus,Acanthurus triostegus,27,2.8,Browsing herbivore,Demersal,Day,coral
3792,Acanthurus tristis,Acanthuridae,Actinopterygii,Acanthurus tristis,Acanthurus tristis,25,2.2,Browsing herbivore,Demersal,Day,coral
3232,Acanthurus xanthopterus,Acanthuridae,Actinopterygii,Acanthurus xanthopterus,Acanthurus xanthopterus,70,2.9,Browsing herbivore,Demersal,Day,coral
112,Achoerodus gouldii,Labridae,Actinopterygii,Achoerodus gouldii,Achoerodus gouldii,175,3.8,Benthic invertivore,Demersal,Day,rock
169,Achoerodus viridis,Labridae,Actinopterygii,Achoerodus viridis,Achoerodus viridis,100,3.7,Benthic invertivore,Demersal,Day,rock
4594,Acmaea mitra,Acmaeidae,Gastropoda,Acmaea mitra,Acmaea mitra,3.5,,Scraping herbivore,benthic,,
3459,Acoela spp.,(blank),(blank),Acoela spp.,Acoela spp.,,,Benthic invertivore,benthic,,
5140,Acreichthys tomentosus,Monacanthidae,Actinopterygii,Acreichthys tomentosus,Acreichthys tomentosus,12,,omnivore,benthic,,
5269,Acrosterigma elongata,Cardiidae,Bivalvia,Acrosterigma elongata,Acrosterigma elongata,,,suspension feeders,benthic,,
5733,Actaea peronii,Xanthidae,Malacostraca,Actaea peronii,Actaea peronii,2.5,,Benthic invertivore,benthic,,
199,Actinopterygii spp.,(blank),Actinopterygii,Unidentified fish,Actinopterygii spp.,15,,Planktivore,Demersal,,
2044,Actinopterygii spp.,(blank),Actinopterygii,Unidentified fish (cryptic),Actinopterygii spp.,,,Benthic invertivore,benthic,,
3474,Actinopterygii spp.,(blank),Actinopterygii,Actinopterygii spp.,Actinopterygii spp.,,,Omnivore,Demersal,,
5913,Actinopterygii spp.,(blank),Actinopterygii,Actinopterygii spp. [Fishes (indeterminate juveniles)],Actinopterygii spp.,,,Benthic invertivore,benthic,Day,rock
#N/A,Actinopterygii spp.,#N/A,Actinopterygii,Actinopterygii sp. [Epiuris annularis],Actinopterygii spp.,15,,Benthic invertivore,benthic,Day,coral
4996,Actinopyga agassizii,Holothuriidae,Holothuroidea,Actinopyga agassizii,Actinopyga agassizii,35,,omnivore,benthic,,
2749,Actinopyga echinites,Holothuriidae,Holothuroidea,Actinopyga echinites,Actinopyga echinites,20,,omnivore,benthic,,
2750,Actinopyga mauritiana,Holothuriidae,Holothuroidea,Actinopyga mauritiana,Actinopyga mauritiana,30,,omnivore,benthic,,
2754,Actinopyga miliaris,Holothuriidae,Holothuroidea,Actinopyga miliaris,Actinopyga miliaris,25,,omnivore,benthic,,
6800,Actinopyga palauensis,Holothuriidae,Holothuroidea,Actinopyga palauensis,Actinopyga palauensis,,,Omnivore,benthic,,
3277,Actinopyga spp.,Holothuriidae,Holothuroidea,Actinopyga spp.,Actinopyga spp.,,,omnivore,benthic,,
6959,Acyrtus rubiginosus,Gobiesocidae,Actinopterygii,Acyrtus rubiginosus,Acyrtus rubiginosus,,,Benthic invertivore,benthic,,
4595,Adelomelon ancilla,Volutidae,Gastropoda,Adelomelon ancilla,Adelomelon ancilla,21,,Benthic invertivore,benthic,,
2668,Aegires citrinus,Aegiridae,Gastropoda,Aegires citrinus,Aegires citrinus,7,,Benthic invertivore,benthic,,
3485,Aegires gardineri,Aegiridae,Gastropoda,Aegires gardineri,Aegires gardineri,10,,Benthic invertivore,benthic,,
3486,Aegires minor,Aegiridae,Gastropoda,Aegires minor,Aegires minor,9,,Benthic invertivore,benthic,,
6521,Aeolidia papillosa,Aeolidiidae,Gastropoda,Aeolidia papillosa,Aeolidia papillosa,,,Benthic invertivore,benthic,,
3415,Aeolidiid spp.,Aeolidiidae,Gastropoda,Aeolidiid spp.,Aeolidiid spp.,,,Benthic invertivore,benthic,,
2853,Aeoliscus strigatus,Centriscidae,Actinopterygii,Aeoliscus strigatus,Aeoliscus strigatus,15,3.5,Benthic invertivore,Demersal,Day,coral
4596,Aequipecten opercularis,Pectinidae,Bivalvia,Aequipecten opercularis,Aequipecten opercularis,11,,suspension feeders,benthic,,
5446,Aequipecten tehuelchus,Pectinidae,Bivalvia,Aequipecten tehuelchus,Aequipecten tehuelchus,,,suspension feeders,benthic,,
5687,Aequorea coerulescens,Aequoreidae,Hydrozoa,Aequorea coerulescens,Aequorea coerulescens,,,planktivore,pelagic non-site attached,,
101,Aetapcus maculatus,Pataecidae,Actinopterygii,Aetapcus maculatus,Aetapcus maculatus,22,3.5,Benthic invertivore,benthic,Day,rock
3700,Aethaloperca rogaa,Serranidae,Actinopterygii,Aethaloperca rogaa,Aethaloperca rogaa,60,4.2,Higher carnivore,Demersal,Day,coral
1422,Aetobatus narinari,Myliobatidae,Chondrichthyes,Aetobatus narinari,Aetobatus narinari,330,3.2,Benthic invertivore,Demersal,Day,coral
6138,Aetobatus ocellatus,Myliobatidae,Chondrichthyes,Aetobatus ocellatus,Aetobatus ocellatus,330,3.2,Benthic invertivore,benthic,Day,coral
2517,Afurcagobius tamarensis,Gobiidae,Actinopterygii,Afurcagobius tamarensis,Afurcagobius tamarensis,11,3.3,Benthic invertivore,benthic,Day,sand
3416,Aglajid spp.,Aglajidae,Gastropoda,Aglajid spp.,Aglajid spp.,,,Benthic invertivore,benthic,,
268,Agnewia tritoniformis,Muricidae,Gastropoda,Agnewia tritoniformis,Agnewia tritoniformis,3,,Benthic invertivore,benthic,,
7149,Aioliops megastigma,Microdesmidae,Actinopterygii,Aioliops megastigma,Aioliops megastigma,3,3.1,Planktivore,Demersal,,
6746,Aioliops novaeguineae,Ptereleotridae,Actinopterygii,Aioliops novaeguineae,Aioliops novaeguineae,,,Planktivore,benthic,,
6452,Aipysurus duboisii,Elapidae,Reptilia,Aipysurus duboisii,Aipysurus duboisii,140,,Higher carnivore,benthic,,
3271,Aipysurus laevis,Hydrophiidae,Reptilia,Aipysurus laevis,Aipysurus laevis,200,,Benthic invertivore,pelagic non-site attached,Day,
6362,Aipysurus spp.,Elapidae,Reptilia,Aipysurus spp.,Aipysurus spp.,,,Higher carnivore,benthic,,
6624,Aipysurus tenuis,Elapidae,Reptilia,Aipysurus tenuis,Aipysurus tenuis,140,,Higher carnivore,benthic,,
6962,Albula vulpes,Albulidae,Actinopterygii,Albula vulpes,Albula vulpes,104,,Benthic invertivore,benthic,,
7185,Alcyonium antarcticum,Alcyoniidae,Anthozoa,Alcyonium antarcticum,Alcyonium antarcticum,,,Planktivore,benthic,,
549,Aldrichetta forsteri,Mugilidae,Actinopterygii,Aldrichetta forsteri,Aldrichetta forsteri,50,2.5,Browsing herbivore,pelagic non-site attached,Day,sand
3710,Alectis ciliaris,Carangidae,Actinopterygii,Alectis ciliaris,Alectis ciliaris,150,3.8,Higher carnivore,pelagic non-site attached,Day,sand
7248,Alectis indicus,Carangidae,Actinopterygii,Alectis indica,Alectis indicus,165,,Higher carnivore,benthic,,
6579,Alectryonella plicatula,Ostreidae,Bivalvia,Alectryonella plicatula,Alectryonella plicatula,11,,Planktivore,benthic,,
3889,Alepes spp.,Carangidae,Actinopterygii,Alepes spp.,Alepes spp.,,,higher carnivore,benthic,Day,sand
6702,Alepes vari,Carangidae,Actinopterygii,Alepes vari,Alepes vari,56,3.7,Higher carnivore,pelagic non-site attached,,
4597,Alloclinus holderi,Labrisomidae,Actinopterygii,Alloclinus holderi,Alloclinus holderi,10,3.5,Benthic invertivore,benthic,Day,rock
7039,Allogalathea elegans,Galatheidae,Malacostraca,Allogalathea elegans,Allogalathea elegans,2,,Benthic invertivore,benthic,,
5422,Allostichaster capensis,Stichasteridae,Asteroidea,Allostichaster capensis,Allostichaster capensis,,,Benthic invertivore,benthic,,
231,Allostichaster polyplax,Asteriidae,Asteroidea,Allostichaster polyplax,Allostichaster polyplax,9,,Benthic invertivore,benthic,,
4598,Alphestes immaculatus,Serranidae,Actinopterygii,Alphestes immaculatus,Alphestes immaculatus,30,3.5,Benthic invertivore,Demersal,Day,coral
4599,Alphestes multiguttatus,Serranidae,Actinopterygii,Alphestes multiguttatus,Alphestes multiguttatus,30,3.5,Benthic invertivore,Demersal,Day,coral
2354,Alpheus astrinx,Alpheidae,Malacostraca,Alpheus astrinx,Alpheus astrinx,4.3,,Benthic invertivore,benthic,,
7003,Alpheus djiboutensis,Alpheidae,Malacostraca,Alpheus djiboutensis,Alpheus djiboutensis,,,Benthic invertivore,benthic,,
6844,Alpheus euphrosyne,Alpheidae,Malacostraca,Alpheus euphrosyne,Alpheus euphrosyne,,,Benthic invertivore,benthic,,
7080,Alpheus immaculatus,Alpheidae,Malacostraca,Alpheus immaculatus,Alpheus immaculatus,,,Benthic invertivore,benthic,,
3664,Alpheus spp.,Alpheidae,Malacostraca,Alpheus spp.,Alpheus spp.,,,omnivore,benthic,,
1424,Aluterus scriptus,Monacanthidae,Actinopterygii,Aluterus scriptus,Aluterus scriptus,110,2.8,Omnivore,Demersal,Day,coral
6168,Amalda australis,Olividae,Gastropoda,Amalda australis,Amalda australis,,,Benthic invertivore,benthic,,
3797,Amanses scopas,Monacanthidae,Actinopterygii,Amanses scopas,Amanses scopas,20,2.9,Omnivore,Demersal,Day,coral
6146,Amanses spp.,Monacanthidae,Actinopterygii,Amanses spp.,Amanses spp.,,,Omnivore,Demersal,Day,coral
2879,Ambassis jacksoniensis,Ambassidae,Actinopterygii,Ambassis jacksoniensis,Ambassis jacksoniensis,7,3.1,Planktivore,pelagic site attached,Night,sand
3750,Amblycirrhitus bimacula,Cirrhitidae,Actinopterygii,Amblycirrhitus bimacula,Amblycirrhitus bimacula,8.5,3.5,Benthic invertivore,benthic,Day,coral
4984,Amblycirrhitus pinos,Cirrhitidae,Actinopterygii,Amblycirrhitus pinos,Amblycirrhitus pinos,9.5,3.2,Benthic invertivore,benthic,Day,coral
5815,Amblyeleotris fasciata,Gobiidae,Actinopterygii,Amblyeleotris fasciata,Amblyeleotris fasciata,8,3.3,Benthic invertivore,benthic,Day,sand
3183,Amblyeleotris guttata,Gobiidae,Actinopterygii,Amblyeleotris guttata,Amblyeleotris guttata,11,3.4,Benthic invertivore,benthic,Day,sand
6600,Amblyeleotris gymnocephala,Gobiidae,Actinopterygii,Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,14,3.4,Benthic invertivore,benthic,,
4600,Amblyeleotris katherine,Gobiidae,Actinopterygii,Amblyeleotris katherine,Amblyeleotris katherine,5.6,3.3,Benthic invertivore,benthic,Day,sand
6629,Amblyeleotris periophthalma,Gobiidae,Actinopterygii,Amblyeleotris periophthalma,Amblyeleotris periophthalma,11,3.4,Benthic invertivore,benthic,,
6783,Amblyeleotris rubrimarginata,Gobiidae,Actinopterygii,Amblyeleotris rubrimarginata,Amblyeleotris rubrimarginata,11,,Browsing herbivore,benthic,,
3278,Amblyeleotris spp.,Gobiidae,Actinopterygii,Amblyeleotris spp.,Amblyeleotris spp.,,,Benthic invertivore,benthic,Day,sand
#N/A,Amblyeleotris spp.,Gobiidae,Actinopterygii,Amblyeleotris sp. [FP],Amblyeleotris spp.,9.166666667,,Benthic invertivore,benthic,Day,sand
3184,Amblyeleotris steinitzi,Gobiidae,Actinopterygii,Amblyeleotris steinitzi,Amblyeleotris steinitzi,13,3.4,Benthic invertivore,benthic,Day,sand
6548,Amblyeleotris sungami,Gobiidae,Actinopterygii,Amblyeleotris sungami,Amblyeleotris sungami,10,,Browsing herbivore,benthic,,
5306,Amblyeleotris wheeleri,Gobiidae,Actinopterygii,Amblyeleotris wheeleri,Amblyeleotris wheeleri,10,3.4,Benthic invertivore,benthic,Day,sand
3038,Amblyglyphidodon aureus,Pomacentridae,Actinopterygii,Amblyglyphidodon aureus,Amblyglyphidodon aureus,13,2.7,Omnivore,Demersal,Day,coral
3747,Amblyglyphidodon batunai,Pomacentridae,Actinopterygii,Amblyglyphidodon batunai,Amblyglyphidodon batunai,10,2.7,Omnivore,Demersal,Day,coral
3039,Amblyglyphidodon curacao,Pomacentridae,Actinopterygii,Amblyglyphidodon curacao,Amblyglyphidodon curacao,11,2.6,Omnivore,Demersal,Day,coral
4601,Amblyglyphidodon flavilatus,Pomacentridae,Actinopterygii,Amblyglyphidodon flavilatus,Amblyglyphidodon flavilatus,10,2.7,Omnivore,Demersal,Day,coral
4602,Amblyglyphidodon indicus,Pomacentridae,Actinopterygii,Amblyglyphidodon indicus,Amblyglyphidodon indicus,8.3,2.7,Omnivore,Demersal,Day,coral
3040,Amblyglyphidodon leucogaster,Pomacentridae,Actinopterygii,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,13,3.4,Omnivore,Demersal,Day,coral
4603,Amblyglyphidodon melanopterus,Pomacentridae,Actinopterygii,Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,10.1,2.7,Omnivore,Demersal,Day,coral
5849,Amblyglyphidodon orbicularis,Pomacentridae,Actinopterygii,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,8.3,2.7,Browsing herbivore,Demersal,Day,coral
3890,Amblyglyphidodon spp.,Pomacentridae,Actinopterygii,Amblyglyphidodon spp.,Amblyglyphidodon spp.,,,Omnivore,Demersal,Day,coral
3584,Amblyglyphidodon ternatensis,Pomacentridae,Actinopterygii,Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,10,2.7,Omnivore,Demersal,Day,coral
5336,Amblygobius albimaculatus,Gobiidae,Actinopterygii,Amblygobius albimaculatus,Amblygobius albimaculatus,18,2.6,Omnivore,benthic,Day,sand
6693,Amblygobius buanensis,Gobiidae,Actinopterygii,Amblygobius buanensis,Amblygobius buanensis,8,,Browsing herbivore,benthic,,
3185,Amblygobius bynoensis,Gobiidae,Actinopterygii,Amblygobius bynoensis,Amblygobius bynoensis,10,2.7,Omnivore,benthic,Day,sand
3186,Amblygobius decussatus,Gobiidae,Actinopterygii,Amblygobius decussatus,Amblygobius decussatus,9.5,2.7,Omnivore,benthic,Day,sand
3187,Amblygobius nocturnus,Gobiidae,Actinopterygii,Amblygobius nocturnus,Amblygobius nocturnus,10,2.7,Omnivore,benthic,Day,sand
